goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkTreeGetValueParamPooled-8                        	82237078	        14.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamPooled-8                        	79244974	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStaticOverParamSiblingPooled-8       	44600545	        26.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStaticOverParamSiblingPooled-8       	44728693	        26.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStaticOverParamSiblingPooled-8       	44537092	        27.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStaticOverParamSiblingPooled-8       	43913416	        26.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStaticOverParamSiblingPooled-8       	43297005	        27.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamWithStaticSiblingPooled-8       	35468809	        34.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamWithStaticSiblingPooled-8       	34953115	        33.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamWithStaticSiblingPooled-8       	35370188	        34.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamWithStaticSiblingPooled-8       	33805038	        34.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamWithStaticSiblingPooled-8       	35087974	        34.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamAfterStaticPrefixMissPooled-8   	30734325	        38.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamAfterStaticPrefixMissPooled-8   	31344243	        39.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamAfterStaticPrefixMissPooled-8   	30571560	        38.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamAfterStaticPrefixMissPooled-8   	30612472	        38.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamAfterStaticPrefixMissPooled-8   	31166840	        38.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueCatchAllPooled-8                     	77556955	        15.11 ns/op	       0 B/op	       0 allocs/op
